!CSV A.01.01
!Keysight Technologies,E5080A,MY55100348,A.12.55.09
!Date: Tuesday, April 23, 2019 16:32:23
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG),S11(MAG),S11(DEG)
100000,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367,1.0023062,-1.8352367
45099500,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503,0.98921466,-142.96503
90099000,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612,0.97947901,74.525612
135098500,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466,0.98108912,-67.457466
180098000,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373,0.97177243,149.9373
225097500,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254,0.97484493,8.0840254
270097000,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601,0.96740586,-134.48601
315096500,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217,0.96419472,83.827217
360096000,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022,0.96633589,-58.432022
405095500,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002,0.95927709,159.15002
