!CSV A.01.01,,,,,,,,
!Keysight Technologies,E5080A,MY55100348,A.12.55.09,,,,,
!Date: Thursday, April 25, 2019 16:56:09,,,,,,
!Source: Standard,,,,,,,,
,,,,,,,,
BEGIN CH1_DATA,,,,,,,,
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
5140000000,0.30987951,149.49284,0.71454459,8.6534586,0.71507418,8.7806902,0.23446541,-38.86311
5140006000,0.30954054,149.47035,0.71412253,8.657258,0.71470839,8.7429638,0.23417805,-38.87318
5140012000,0.30958739,149.52948,0.71477973,8.6772881,0.71450609,8.767375,0.23435244,-38.734703
5140018000,0.31005874,149.46097,0.71475232,8.6889009,0.71456808,8.7281551,0.23462743,-38.969425
5140024000,0.30975842,149.41994,0.71470386,8.6749783,0.7144891,8.7601166,0.23401926,-38.850327
5140030000,0.3102164,149.51877,0.71445173,8.691371,0.71459889,8.7881708,0.23463427,-38.812969
5140036000,0.3099294,149.48688,0.71436411,8.6777916,0.71457797,8.7489042,0.23404633,-38.747097
5140042000,0.30974343,149.51117,0.71409422,8.6766014,0.71470624,8.7268362,0.2343141,-38.838902
5140048000,0.30981392,149.53171,0.71424419,8.6410027,0.71454239,8.7650909,0.23401479,-38.848518
5140054000,0.30935332,149.42044,0.71458173,8.6486406,0.71470004,8.7421064,0.23429027,-38.87569
5140060000,0.30993748,149.53232,0.71446908,8.6651783,0.71425217,8.7276134,0.23454612,-38.841309
5140066000,0.30942202,149.52489,0.71470714,8.6249371,0.71432787,8.7459574,0.23445462,-38.912956
5140072000,0.30985603,149.46657,0.71465737,8.6284323,0.71462882,8.7239561,0.23470947,-39.002316
5140078000,0.30975485,149.45587,0.71484262,8.6272364,0.71419495,8.7177944,0.23447797,-38.979355
5140084000,0.30967548,149.44836,0.71471661,8.6469212,0.71460509,8.6872282,0.23471627,-38.853119
5140090000,0.30975291,149.47606,0.71476257,8.6369886,0.71453428,8.6867676,0.23417822,-39.013901
5140096000,0.30997118,149.43944,0.71460813,8.6339664,0.71448034,8.7066002,0.23446102,-38.975117
5140102000,0.31009942,149.47424,0.71435034,8.6718435,0.71445471,8.6829243,0.23442072,-38.889324
5140108000,0.31001443,149.47008,0.71461862,8.642787,0.71426457,8.7031832,0.2345922,-38.840706
5140114000,0.30940992,149.52855,0.71470785,8.6018524,0.71463889,8.6946583,0.23475517,-39.097595
5140120000,0.30965614,149.50569,0.71371388,8.6044359,0.71465182,8.706707,0.23423384,-38.904617
5140126000,0.30973977,149.38693,0.71433204,8.6260786,0.71477783,8.6751175,0.23428155,-38.885883
5140132000,0.30985188,149.44748,0.71408224,8.6190481,0.71440446,8.6636782,0.23441641,-38.945206
5140138000,0.3099418,149.56252,0.71425378,8.586937,0.71443069,8.6870756,0.23443729,-38.999153
5140144000,0.31002817,149.42264,0.71462595,8.622057,0.71428937,8.6837177,0.23452106,-38.942654
5140150000,0.30985972,149.46436,0.71449083,8.5903673,0.71465081,8.6972752,0.23480213,-39.03907
5140156000,0.30975533,149.46581,0.71462905,8.5776911,0.71460909,8.6902761,0.23512281,-39.077263
5140162000,0.30992988,149.42929,0.71424353,8.6170959,0.71455842,8.6487608,0.23450093,-38.991592
5140168000,0.30991,149.46817,0.71428466,8.5653114,0.71472794,8.6993055,0.23446095,-39.051373
5140174000,0.31006154,149.49651,0.71434349,8.6164799,0.7144863,8.6575356,0.23444793,-38.976746
5140180000,0.31015521,149.53569,0.71413648,8.5592499,0.71446258,8.6802979,0.23411267,-39.135181
5140186000,0.30980256,149.45329,0.71414214,8.566515,0.71461314,8.668273,0.23421258,-39.103966
5140192000,0.30979273,149.52444,0.71422607,8.574708,0.71449047,8.6616945,0.23467188,-39.022411
5140198000,0.31019938,149.46889,0.71389139,8.5850992,0.71433741,8.6716461,0.23452981,-39.0495
5140204000,0.3100383,149.43599,0.71417814,8.5890026,0.7142511,8.647891,0.23453934,-38.968159
5140210000,0.31005293,149.49434,0.71449137,8.5561352,0.71443617,8.6467505,0.23475166,-39.171444
5140216000,0.30972061,149.42223,0.71461856,8.5762463,0.71448851,8.6455059,0.23483837,-39.062115
5140222000,0.30993861,149.37982,0.71448153,8.5578566,0.71431983,8.624814,0.23455782,-39.156281
5140228000,0.31016365,149.4418,0.71454161,8.5819664,0.71408814,8.6190128,0.23479176,-39.132202
5140234000,0.31016186,149.43112,0.71443743,8.583396,0.71353197,8.6219444,0.23420596,-39.018639
5140240000,0.30984244,149.5457,0.71374542,8.535758,0.71443874,8.650157,0.23434064,-39.107101
5140246000,0.30975088,149.44922,0.71456653,8.5558434,0.71384215,8.57794,0.23475593,-39.249935
5140252000,0.3096866,149.50761,0.71443731,8.5401506,0.71475643,8.6206808,0.23453029,-39.154705
5140258000,0.30978686,149.45554,0.71443385,8.5551682,0.71428072,8.6015406,0.23448178,-39.181938
5140264000,0.30988488,149.44075,0.71466619,8.5297222,0.71467328,8.6208868,0.23443612,-39.229401
5140270000,0.31001094,149.53078,0.71421969,8.5474234,0.71419084,8.6190538,0.2342269,-39.104416
5140276000,0.31018105,149.4113,0.7145068,8.5250063,0.71433252,8.6100779,0.23453538,-39.101414
5140282000,0.30972657,149.46394,0.71442938,8.5074081,0.7140224,8.6187639,0.23471797,-39.234856
5140288000,0.30991879,149.35013,0.71514469,8.5274229,0.71412742,8.598855,0.23488684,-39.128582
5140294000,0.30998179,149.49551,0.71417135,8.5079565,0.71429253,8.6374264,0.23433682,-39.218658
5140300000,0.31021053,149.49113,0.71391851,8.5624905,0.714315,8.579916,0.23415177,-39.234142
5140306000,0.30987406,149.44827,0.71454054,8.5365219,0.71413881,8.6240625,0.23429164,-39.185631
5140312000,0.31024626,149.45079,0.71414018,8.5440331,0.71432996,8.6020699,0.23495956,-39.18903
5140318000,0.31005263,149.43713,0.71419758,8.4936123,0.71412742,8.5902386,0.23443004,-39.275993
5140324000,0.30981669,149.42458,0.71411544,8.5121346,0.71425807,8.574234,0.23427162,-39.368355
5140330000,0.30968368,149.44179,0.71430194,8.5076027,0.71426195,8.5496311,0.23483318,-39.252041
5140336000,0.30996296,149.49591,0.71393567,8.5060492,0.71432084,8.5842762,0.23430081,-39.117199
5140342000,0.30980214,149.45851,0.71409208,8.4720373,0.71432173,8.5890369,0.23449618,-39.190979
5140348000,0.31011739,149.50293,0.71419787,8.5303087,0.71419662,8.5297995,0.23462564,-39.237129
5140354000,0.30975854,149.41386,0.71416682,8.521287,0.71440589,8.5630541,0.23499838,-39.324654
5140360000,0.31015518,149.52466,0.71393502,8.4784021,0.71402055,8.5547142,0.23443915,-39.311489
5140366000,0.31013092,149.38487,0.71415401,8.4866972,0.7141577,8.5811815,0.23442456,-39.259808
5140372000,0.31003505,149.39871,0.71423727,8.497139,0.71440381,8.561636,0.23488021,-39.265877
5140378000,0.30981296,149.49774,0.71414495,8.4761372,0.71449137,8.5599213,0.2342504,-39.324909
5140384000,0.31067932,149.51534,0.71399957,8.4876375,0.71404207,8.5644512,0.23424534,-39.214329
5140390000,0.30998206,149.44679,0.71417499,8.4593153,0.71423924,8.5274973,0.23473743,-39.409111
5140396000,0.31032288,149.47403,0.71384209,8.4910107,0.71406645,8.5470181,0.23444945,-39.338512
5140402000,0.30974665,149.4238,0.71446037,8.4236498,0.71405214,8.5519228,0.23483638,-39.345795
5140408000,0.3102935,149.52458,0.71412784,8.4811525,0.7141121,8.5426855,0.2349333,-39.296963
5140414000,0.31039858,149.40485,0.71439689,8.452282,0.71432626,8.5456247,0.23435047,-39.394562
5140420000,0.30986238,149.46553,0.71407318,8.4544535,0.71395934,8.5247269,0.23444724,-39.373314
5140426000,0.31009397,149.52852,0.71412033,8.4552813,0.71401215,8.5297871,0.23492911,-39.370354
5140432000,0.31034696,149.44688,0.71391761,8.4737902,0.71393234,8.5276546,0.23432295,-39.373604
5140438000,0.30985847,149.42438,0.71430022,8.4767256,0.71395338,8.5312271,0.23452553,-39.277328
5140444000,0.3101362,149.45796,0.71416777,8.4336824,0.714333,8.5067844,0.23452061,-39.385933
5140450000,0.310379,149.37984,0.71455598,8.469656,0.71406889,8.4992237,0.23444961,-39.459358
5140456000,0.31007805,149.42958,0.71487647,8.44837,0.71366799,8.5186825,0.23497896,-39.419327
5140462000,0.31014371,149.3914,0.71464753,8.4844522,0.7137742,8.5081968,0.23486651,-39.440109
5140468000,0.31011385,149.48756,0.71378046,8.4633093,0.71414536,8.5190334,0.23455437,-39.363297
5140474000,0.30990431,149.40541,0.71460164,8.4036722,0.71383321,8.4921122,0.2349357,-39.46875
5140480000,0.30988824,149.42773,0.71420252,8.444355,0.71397609,8.4863214,0.23475431,-39.48587
5140486000,0.31009445,149.40739,0.71416366,8.4394474,0.71433783,8.492919,0.23494406,-39.495491
5140492000,0.30960575,149.44844,0.71394813,8.4059839,0.71410275,8.4802799,0.23452561,-39.539749
5140498000,0.31037313,149.41226,0.71387672,8.4204721,0.71436858,8.5030308,0.23472609,-39.471169
5140504000,0.31008244,149.41136,0.71416944,8.4175091,0.71377599,8.4771547,0.23479001,-39.500168
5140510000,0.31025493,149.43459,0.71383834,8.4465752,0.71453446,8.5025797,0.23556717,-39.381374
5140516000,0.30975506,149.48409,0.71385193,8.3895407,0.7143814,8.4827242,0.23478456,-39.63102
5140522000,0.31042701,149.39363,0.71427757,8.4371939,0.71457875,8.4793816,0.23536313,-39.514072
5140528000,0.31026545,149.34003,0.71415073,8.3896589,0.71396977,8.4840078,0.23494211,-39.502876
5140534000,0.31002128,149.41628,0.71400046,8.3716898,0.71399045,8.478406,0.23462395,-39.626099
5140540000,0.31010324,149.45549,0.71399665,8.4039669,0.71373087,8.483098,0.23482753,-39.583397
5140546000,0.31007093,149.47865,0.71373641,8.4151306,0.71439606,8.4435654,0.2350225,-39.607819
5140552000,0.30993536,149.36903,0.71384442,8.421773,0.71413064,8.4749088,0.23428065,-39.546055
5140558000,0.31011173,149.42102,0.71417779,8.3866472,0.71389651,8.4726629,0.2350951,-39.54327
5140564000,0.30990675,149.36514,0.71413505,8.3486061,0.71393394,8.4564247,0.23469836,-39.763863
5140570000,0.31021553,149.41716,0.71448219,8.3580303,0.71412778,8.4675245,0.23510362,-39.625233
5140576000,0.30993417,149.40167,0.71415395,8.3913822,0.71407437,8.446353,0.23488727,-39.527489
5140582000,0.31002289,149.38812,0.71427602,8.3562222,0.71402156,8.4415302,0.23457868,-39.62072
5140588000,0.31028548,149.41315,0.7141782,8.3805771,0.71368378,8.4118805,0.23473974,-39.709488
5140594000,0.31034255,149.38168,0.71402317,8.3702221,0.71414411,8.433136,0.23502965,-39.589283
5140600000,0.31010875,149.51791,0.71393436,8.3740425,0.71369046,8.4598541,0.2348641,-39.584801
5140606000,0.30995974,149.41603,0.7139836,8.3678017,0.71421051,8.4458332,0.23466328,-39.545582
5140612000,0.31032825,149.40071,0.71410519,8.3802595,0.71388,8.4401865,0.23471449,-39.564388
5140618000,0.31006768,149.31726,0.71423566,8.3542643,0.7138567,8.4151859,0.23487794,-39.697872
5140624000,0.31034061,149.43921,0.71389019,8.3591261,0.71377856,8.3762341,0.23503014,-39.703594
5140630000,0.30987296,149.3679,0.71364367,8.3102865,0.71455866,8.4282837,0.23470248,-39.583332
5140636000,0.31054148,149.39259,0.71407074,8.3349237,0.71382815,8.4011755,0.234972,-39.639183
5140642000,0.30984548,149.41632,0.71379703,8.3023777,0.7138586,8.4104347,0.2346407,-39.714153
5140648000,0.31046635,149.39624,0.71398419,8.3460741,0.71396816,8.4241953,0.23516594,-39.761246
5140654000,0.31016049,149.43359,0.71386456,8.3599005,0.71390295,8.3991156,0.23520042,-39.741234
5140660000,0.30982068,149.42587,0.71378267,8.3295555,0.71388048,8.3978376,0.23479234,-39.734375
5140666000,0.31017524,149.40118,0.71442872,8.3311825,0.71392125,8.4119053,0.23527803,-39.659611
5140672000,0.31030422,149.4294,0.7141335,8.2951193,0.71388054,8.4075089,0.23494385,-39.704784
5140678000,0.31039906,149.37769,0.71380502,8.319562,0.71409494,8.4127321,0.23514934,-39.730766
5140684000,0.31041655,149.4516,0.71392101,8.2979202,0.71372932,8.4176741,0.23511626,-39.722858
5140690000,0.30982226,149.42841,0.71366948,8.3223467,0.713696,8.37181,0.2350207,-39.716831
5140696000,0.3103441,149.39702,0.71367508,8.3184223,0.71408409,8.3941069,0.23481028,-39.692898
5140702000,0.3100504,149.39857,0.71419936,8.2708931,0.71399111,8.4043903,0.23499301,-39.770325
5140708000,0.31057546,149.371,0.71400207,8.3010588,0.71375018,8.3942308,0.23479781,-39.723873
5140714000,0.31038213,149.33392,0.71400529,8.3041992,0.71388096,8.3777552,0.23481391,-39.736412
5140720000,0.30995834,149.35893,0.71403188,8.2590704,0.7137832,8.3507271,0.23532465,-39.817829
